OID_,sample_id,submission_id,bioinformatics_id,popmap_initial,popmap_adjusted,region,year,location,number,tag,adult_yoy,species,subregion,project,latitude,longitude,H1_coast_noncoast,H2_Aufeis_above_below_coast,H3_WShd_up_down_lower,CG_Family,Lngth_cm_x,Wt_g_x,Sex_x,Date_Caught,Otoliths_x,min_dist,max_dist,min_date,max_date,days_tracked,Freq,migrant_long_short,H3_JulyAug_Temp_Ave,H3_JulyAug_Temp_Med,H3_JulyAug_Temp_Min,H3_JulyAug_Temp_Max,H3_JulyAug_Temp_Var,H3_JulyAug_Temp_se,H3_JulyAug_Temp_n,Comments,RASTERVALU
1,2016-BJANE-004,P1A1,Golden1A01,BJANE,IMlow,Colville,2016,BJANE,4.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.592560000000006,-149.731140000000011,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,679.7534790
2,2013-Kup2-07,P1A10,Golden1A10,Kup2,Kup2,Kuparuk,2013,Kup2,7.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.540270000000007,-149.282667000000004,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",862.2227173
3,2013-Kup2-15,P1A11,Golden1A11,Kup2,Kup2,Kuparuk,2013,Kup2,15.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.541139999999999,-149.285513000000009,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",861.8947754
4,2013-Kup6-08,P1A12,Golden1A12,Kup6,Kup6,Kuparuk,2013,Kup6,8.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,2013 - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
5,2015_IMR2_004,P1A2,Golden1A02,IMR2,IMup,Colville,2015,IMR2,4.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.586877999999999,-149.722825000000000,noncoast,above,up,,,,,,,,,,,,,,9.29469086,9,2,16,7.116192372,0.069154807,1488,"Lat, Long estimated: ~30 m downstream from 2015 IMR2 reach starting location.",689.0672607
6,2016-IMR3-010,P1A3,Golden1A03,IMR3,IMlow,Colville,2016,IMR3,10.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.622039999999998,-149.776170000000008,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,622.8976440
7,2016-LIMS-013,P1A4,Golden1A04,LIMS,IMlow,Colville,2016,LIMS,13.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.605549999999994,-149.736099999999993,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,650.1299438
8,2017-Itk3-007,P1A5,Golden1A05,Itk3,Itk3,Colville,2017,Itk3,7.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.939009999999996,-150.128539999999987,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,365.8129578
9,2017-Itk4-008,P1A6,Golden1A06,Itk4,Itk4,Colville,2017,Itk4,8.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.453159999999997,-150.706019999999995,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,103.9908524
10,2017-Itk4-018,P1A7,Golden1A07,Itk4,Itk4,Colville,2017,Itk4,18.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.452680000000001,-150.712510000000009,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,103.1355362
11,2017-Itk4.5-006,P1A8,Golden1A08,Itk4.5,Itk4.5,Colville,2017,Itk4.5,6.000000000000000,,yoy,AG,Itk,LandscapeGenomics,69.934619999999995,-150.851930000000010,coast,coast,lower,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,21.8097401
12,2016-KLAS5-014,P1A9,Golden1A09,KLAS5,KLAS5,Kuparuk,2016,KLAS5,14.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.964900000000000,-149.701510000000013,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,,418.1027527
13,2016-BJANE-008,P1B1,Golden1B01,BJANE,IMlow,Colville,2016,BJANE,8.000000000000000,,yoy,AG,Itk,LandscapeGenomics,68.591930000000005,-149.725359999999995,noncoast,below,down,,,,,,,,,,,,,,8.458291331,8.125,1.125,15.75,7.647271623,0.087800588,992,,679.9437866
14,2013-Kup2-08,P1B10,Golden1B10,Kup2,Kup2,Kuparuk,2013,Kup2,8.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.540525000000002,-149.282397000000003,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",862.2227173
15,2013-Kup2-16,P1B11,Golden1B11,Kup2,Kup2,Kuparuk,2013,Kup2,16.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.541314000000000,-149.286630000000002,noncoast,above,up,,,,,,,,,,,,,,7.96922043,7.625,1.75,17.375,6.385045922,0.058590276,1860,"Lat, Long estimated: YOY GPS estimates start at 1st capture location (1.5 km downstream from GCL outlet) and continue consecutively downstream every 30 m to the last capture location(~1.8 km).",860.0408936
16,2013-Kup6-12,P1B12,Golden1B12,Kup6,Kup6,Kuparuk,2013,Kup6,12.000000000000000,,yoy,AG,Kup,LandscapeGenomics,68.766113000000004,-149.554721000000001,noncoast,above,down,,,,,,,,,,,,,,7.726666667,7.375,0.5,18.5,9.492294216,0.102698557,900,2013 - Most YOY caught below Kup6 antenna near this GPS location,593.7708130
